iter	Passed	Remaining
0	174	173837
1	181	90411
2	189	62931
3	195	48727
4	202	40349
5	209	34645
6	216	30643
7	223	27674
8	229	25302
9	238	23566
10	244	21971
11	252	20777
12	258	19632
13	265	18687
14	272	17866
15	278	17122
16	285	16492
17	291	15914
18	298	15402
19	305	14954
20	311	14503
21	317	14120
22	324	13771
23	331	13467
24	337	13153
25	343	12852
26	349	12586
27	355	12341
28	361	12101
29	368	11899
30	374	11690
31	380	11511
32	386	11337
33	392	11157
34	401	11057
35	408	10948
36	416	10850
37	423	10730
38	431	10637
39	438	10516
40	447	10465
41	454	10363
42	463	10316
43	471	10248
44	480	10192
45	486	10093
46	494	10026
47	501	9937
48	507	9845
49	514	9775
50	520	9691
51	528	9625
52	536	9588
53	544	9537
54	551	9480
55	559	9424
56	566	9373
57	573	9313
58	584	9322
59	593	9303
60	600	9238
61	605	9167
62	612	9110
63	618	9044
64	624	8990
65	631	8933
66	636	8869
67	644	8832
68	650	8775
69	657	8729
70	663	8676
71	668	8622
72	677	8598
73	683	8554
74	692	8538
75	698	8490
76	704	8447
77	711	8405
78	717	8366
79	725	8340
80	732	8305
81	738	8270
82	745	8235
83	752	8203
84	759	8173
85	776	8248
86	788	8273
87	799	8290
88	810	8297
89	825	8346
90	834	8333
91	845	8342
92	855	8346
93	865	8340
94	875	8344
95	883	8324
96	895	8340
97	905	8337
98	914	8322
99	927	8351
100	937	8344
101	945	8326
102	955	8325
103	965	8316
104	988	8425
105	996	8406
106	1006	8398
107	1014	8376
108	1023	8367
109	1031	8347
110	1042	8349
111	1052	8345
112	1060	8328
113	1070	8317
114	1078	8299
115	1089	8305
116	1099	8294
117	1109	8290
118	1121	8299
119	1130	8290
120	1143	8307
121	1157	8331
122	1167	8322
123	1176	8314
124	1190	8333
125	1199	8322
126	1207	8297
127	1217	8294
128	1225	8273
129	1236	8274
130	1244	8255
131	1253	8244
132	1261	8222
133	1272	8222
134	1280	8205
135	1289	8194
136	1305	8220
137	1315	8215
138	1323	8197
139	1332	8187
140	1340	8166
141	1351	8164
142	1359	8144
143	1369	8139
144	1379	8134
145	1387	8115
146	1398	8117
147	1409	8114
148	1420	8110
149	1428	8094
150	1436	8079
151	1446	8069
152	1458	8073
153	1467	8063
154	1474	8041
155	1483	8025
156	1489	8000
157	1497	7981
158	1504	7958
159	1511	7937
160	1518	7915
161	1525	7893
162	1533	7872
163	1539	7848
164	1548	7835
165	1555	7813
166	1563	7798
167	1569	7775
168	1578	7762
169	1585	7740
170	1592	7720
171	1599	7697
172	1606	7677
173	1614	7666
174	1622	7649
175	1630	7633
176	1637	7615
177	1645	7600
178	1653	7585
179	1663	7580
180	1677	7589
181	1685	7577
182	1695	7571
183	1708	7578
184	1717	7564
185	1727	7560
186	1734	7542
187	1743	7529
188	1752	7520
189	1762	7514
190	1769	7494
191	1778	7484
192	1785	7467
193	1795	7458
194	1803	7445
195	1811	7430
196	1818	7411
197	1826	7397
198	1832	7376
199	1841	7366
200	1848	7349
201	1856	7334
202	1863	7316
203	1870	7299
204	1877	7279
205	1883	7258
206	1890	7243
207	1897	7224
208	1904	7206
209	1912	7192
210	1919	7177
211	1926	7161
212	1933	7145
213	1941	7131
214	1948	7114
215	1956	7101
216	1962	7081
217	1970	7068
218	1980	7061
219	1989	7055
220	1996	7038
221	2005	7029
222	2012	7012
223	2021	7001
224	2028	6987
225	2040	6987
226	2046	6967
227	2053	6952
228	2059	6932
229	2065	6913
230	2072	6898
231	2077	6878
232	2085	6863
233	2090	6844
234	2098	6831
235	2104	6812
236	2110	6794
237	2116	6777
238	2122	6759
239	2128	6741
240	2135	6724
241	2141	6708
242	2150	6698
243	2157	6685
244	2164	6671
245	2171	6655
246	2177	6638
247	2184	6625
248	2190	6607
249	2197	6591
250	2209	6593
251	2219	6588
252	2227	6575
253	2235	6565
254	2241	6549
255	2250	6539
256	2257	6525
257	2265	6514
258	2272	6500
259	2279	6489
260	2286	6475
261	2294	6463
262	2301	6448
263	2307	6433
264	2315	6422
265	2321	6407
266	2330	6397
267	2336	6382
268	2343	6369
269	2350	6355
270	2357	6340
271	2366	6332
272	2373	6321
273	2381	6311
274	2388	6297
275	2396	6287
276	2403	6274
277	2413	6267
278	2419	6253
279	2426	6240
280	2433	6227
281	2440	6212
282	2447	6201
283	2454	6187
284	2463	6179
285	2470	6167
286	2479	6160
287	2488	6152
288	2496	6142
289	2503	6130
290	2514	6125
291	2521	6113
292	2528	6101
293	2536	6090
294	2544	6082
295	2551	6067
296	2559	6057
297	2566	6045
298	2574	6034
299	2580	6021
300	2588	6010
301	2595	5998
302	2601	5984
303	2608	5972
304	2614	5958
305	2621	5945
306	2628	5932
307	2634	5918
308	2641	5906
309	2648	5894
310	2655	5883
311	2662	5870
312	2668	5856
313	2675	5844
314	2682	5832
315	2689	5821
316	2695	5808
317	2702	5795
318	2708	5782
319	2715	5769
320	2722	5758
321	2728	5746
322	2738	5740
323	2745	5727
324	2752	5715
325	2758	5702
326	2764	5689
327	2772	5681
328	2778	5667
329	2786	5657
330	2792	5644
331	2799	5632
332	2806	5620
333	2813	5609
334	2820	5598
335	2826	5585
336	2833	5574
337	2840	5563
338	2847	5551
339	2854	5541
340	2861	5529
341	2869	5520
342	2875	5507
343	2882	5496
344	2889	5485
345	2895	5473
346	2903	5464
347	2909	5451
348	2917	5441
349	2923	5428
350	2929	5417
351	2936	5405
352	2942	5392
353	2950	5383
354	2956	5371
355	2962	5360
356	2969	5349
357	2976	5338
358	2984	5328
359	2991	5318
360	2999	5309
361	3006	5299
362	3015	5292
363	3023	5283
364	3032	5275
365	3040	5266
366	3048	5258
367	3056	5248
368	3063	5239
369	3071	5229
370	3080	5223
371	3088	5213
372	3097	5206
373	3104	5196
374	3115	5193
375	3123	5183
376	3133	5178
377	3141	5169
378	3149	5161
379	3156	5149
380	3165	5143
381	3172	5132
382	3181	5125
383	3187	5114
384	3196	5105
385	3203	5095
386	3210	5085
387	3217	5075
388	3225	5066
389	3232	5055
390	3239	5045
391	3246	5035
392	3252	5024
393	3259	5013
394	3266	5002
395	3273	4992
396	3280	4982
397	3286	4970
398	3293	4960
399	3300	4950
400	3307	4941
401	3314	4930
402	3320	4919
403	3328	4909
404	3350	4922
405	3358	4912
406	3365	4902
407	3371	4892
408	3379	4883
409	3385	4872
410	3393	4862
411	3399	4851
412	3406	4841
413	3413	4831
414	3420	4821
415	3427	4811
416	3433	4800
417	3440	4791
418	3447	4780
419	3456	4773
420	3462	4762
421	3470	4752
422	3476	4742
423	3482	4731
424	3494	4727
425	3503	4720
426	3513	4715
427	3521	4706
428	3527	4695
429	3534	4685
430	3542	4676
431	3548	4666
432	3555	4656
433	3562	4646
434	3569	4636
435	3575	4625
436	3581	4614
437	3588	4604
438	3594	4593
439	3601	4583
440	3607	4573
441	3613	4562
442	3621	4552
443	3627	4542
444	3634	4532
